Date,Close,Volume
2020-02-26,4.17,75325
2020-02-25,4.21,97070
2020-02-24,4.26,80398
2020-02-21,4.23,81811
2020-02-20,4.14,68666
2020-02-19,4.06,59650
2020-02-18,4.09,72223
2020-02-17,4.0,61262
2020-02-14,3.89,30655
2020-02-13,3.89,58344
2020-02-12,3.99,47009
2020-02-11,3.94,44470
2020-02-10,3.97,55941
2020-02-07,3.86,52275
2020-02-06,3.86,63890
2020-02-05,3.84,90673
2020-02-04,3.69,140011
2020-02-03,3.83,22101
2020-01-23,4.25,162832
2020-01-22,4.63,58415
2020-01-21,4.67,38369
2020-01-20,4.76,32831
2020-01-17,4.7,30610
2020-01-16,4.72,37812
2020-01-15,4.75,51108
2020-01-14,4.83,57343
2020-01-13,4.88,58656
2020-01-10,4.88,72777
2020-01-09,4.98,116245
2020-01-08,4.85,127079
2020-01-07,4.91,78733
2020-01-06,4.89,105347
2020-01-03,4.91,151057
2020-01-02,4.82,74949
2019-12-31,4.73,43760
2019-12-30,4.68,49222
2019-12-27,4.7,69011
2019-12-26,4.78,101443
2019-12-25,4.64,52794
2019-12-24,4.68,42363
2019-12-23,4.63,68858
2019-12-20,4.78,99700
2019-12-19,4.9,113847
2019-12-18,4.76,82483
2019-12-17,4.74,77724
2019-12-16,4.69,66957
2019-12-13,4.6,46942
2019-12-12,4.56,56298
2019-12-11,4.65,106422
2019-12-10,4.52,37568
2019-12-09,4.55,31141
2019-12-06,4.58,36859
2019-12-05,4.56,37420
2019-12-04,4.5,20602
2019-12-03,4.49,30208
2019-12-02,4.46,16317
2019-11-29,4.48,21745
2019-11-28,4.48,21680
2019-11-27,4.48,24119
2019-11-26,4.47,20422
2019-11-25,4.52,31846
2019-11-22,4.49,36354
2019-11-21,4.57,21698
2019-11-20,4.54,29574
2019-11-19,4.6,40760
2019-11-18,4.54,39236
2019-11-15,4.48,29232
2019-11-14,4.54,39178
2019-11-13,4.58,31924
2019-11-12,4.65,75643
2019-11-11,4.7,118227
2019-11-08,4.62,32051
2019-11-07,4.65,37592
2019-11-06,4.61,37566
2019-11-05,4.7,42454
2019-11-04,4.7,45081
2019-11-01,4.67,43855
2019-10-31,4.63,74976
2019-10-30,4.71,71699
2019-10-29,4.82,139989
2019-10-28,5.01,207758
2019-10-25,4.78,78719
2019-10-24,4.73,108993
2019-10-23,4.87,188059
2019-10-22,4.88,141525
2019-10-21,4.69,79054
2019-10-18,4.76,91272
2019-10-17,4.87,72203
2019-10-16,4.83,110754
2019-10-15,4.9,215218
2019-10-14,5.08,327787
2019-10-11,5.18,666888
2019-10-10,5.59,216982
2019-10-09,5.08,67301
2019-10-08,4.62,87318
2019-09-30,4.51,62557
2019-09-27,4.43,34341
2019-09-26,4.4,66333
2019-09-25,4.44,78128
2019-09-24,4.63,67519
2019-09-23,4.69,80677
2019-09-20,4.84,157186
2019-09-19,4.74,136896
2019-09-18,4.61,66586
2019-09-17,4.61,119292
2019-09-16,4.82,130432
2019-09-12,4.85,188668
2019-09-11,4.89,373416
2019-09-10,5.27,294604
2019-09-09,4.79,391340
2019-09-06,4.69,269867
2019-09-05,4.26,66326
2019-09-04,4.25,42829
2019-09-03,4.24,40485
2019-09-02,4.23,40678
2019-08-30,4.16,49900
2019-08-29,4.26,78476
2019-08-28,4.23,43380
2019-08-27,4.2,56475
2019-08-26,4.14,32877
2019-08-23,4.17,42056
2019-08-22,4.14,32067
2019-08-21,4.11,33771
2019-08-20,4.13,44838
2019-08-19,4.14,66220
