Date,Close,Volume
2020-02-26,4.21,24629
2020-02-25,4.18,25239
2020-02-24,4.27,24428
2020-02-21,4.29,24700
2020-02-20,4.26,21816
2020-02-19,4.18,19625
2020-02-18,4.21,28965
2020-02-17,4.16,23088
2020-02-14,4.07,21278
2020-02-13,4.11,14038
2020-02-12,4.18,14576
2020-02-11,4.15,17563
2020-02-10,4.17,17130
2020-02-07,4.12,20400
2020-02-06,4.09,24210
2020-02-05,4.06,21066
2020-02-04,4.0,30401
2020-02-03,3.92,33322
2020-01-23,4.36,26611
2020-01-22,4.5,15230
2020-01-21,4.51,11843
2020-01-20,4.56,8907
2020-01-17,4.51,15151
2020-01-16,4.57,16399
2020-01-15,4.64,28632
2020-01-14,4.66,41628
2020-01-13,4.62,19686
2020-01-10,4.58,15558
2020-01-09,4.59,19427
2020-01-08,4.55,32669
2020-01-07,4.61,34922
2020-01-06,4.62,38710
2020-01-03,4.57,23333
2020-01-02,4.56,28901
2019-12-31,4.53,16631
2019-12-30,4.51,18089
2019-12-27,4.47,19954
2019-12-26,4.5,17555
2019-12-25,4.47,18754
2019-12-24,4.49,27891
2019-12-23,4.44,19182
2019-12-20,4.52,28247
2019-12-19,4.59,30599
2019-12-18,4.52,32416
2019-12-17,4.56,35725
2019-12-16,4.54,33560
2019-12-13,4.51,51990
2019-12-12,4.56,58568
2019-12-11,4.7,136965
2019-12-10,4.84,54986
2019-12-09,4.44,24713
2019-12-06,4.35,27298
2019-12-05,4.3,11843
2019-12-04,4.29,11168
2019-12-03,4.25,7180
2019-12-02,4.23,16486
2019-11-29,4.27,23894
2019-11-28,4.31,34042
2019-11-27,4.25,10534
2019-11-26,4.26,8447
2019-11-25,4.26,10037
2019-11-22,4.22,11251
2019-11-21,4.22,10833
2019-11-20,4.22,9382
2019-11-19,4.26,23571
2019-11-18,4.2,21141
2019-11-15,4.24,21105
2019-11-14,4.23,13042
2019-11-13,4.21,8913
2019-11-12,4.2,9534
2019-11-11,4.19,21500
2019-11-08,4.34,15075
2019-11-07,4.35,12470
2019-11-06,4.36,26147
2019-11-05,4.45,18724
2019-11-04,4.47,23932
2019-11-01,4.42,30813
2019-10-31,4.42,22635
2019-10-30,4.48,19756
2019-10-29,4.57,19181
2019-10-28,4.59,23492
2019-10-25,4.5,19328
2019-10-24,4.51,23519
2019-10-23,4.42,9766
2019-10-22,4.43,14499
2019-10-21,4.4,19423
2019-10-18,4.42,15180
2019-10-17,4.53,18297
2019-10-16,4.51,19447
2019-10-15,4.57,26823
2019-10-14,4.59,31381
2019-10-11,4.53,19210
2019-10-10,4.5,26428
2019-10-09,4.39,9112
