Date,Close,Volume
2020-02-26,8.13,128158
2020-02-25,8.16,120173
2020-02-24,8.25,99511
2020-02-21,8.25,108988
2020-02-20,8.31,98172
2020-02-19,8.07,70871
2020-02-18,8.04,88376
2020-02-17,8.05,84254
2020-02-14,7.83,48468
2020-02-13,7.79,51301
2020-02-12,7.9,58797
2020-02-11,7.85,65036
2020-02-10,7.92,72329
2020-02-07,7.86,68344
2020-02-06,7.81,76505
2020-02-05,7.63,73582
2020-02-04,7.53,92112
2020-02-03,7.43,83428
2020-01-23,8.25,63583
2020-01-22,8.47,39973
2020-01-21,8.45,47097
2020-01-20,8.49,26187
2020-01-17,8.43,32813
2020-01-16,8.41,34251
2020-01-15,8.54,37738
2020-01-14,8.51,46384
2020-01-13,8.53,39167
2020-01-10,8.43,39702
2020-01-09,8.44,42404
2020-01-08,8.32,48472
2020-01-07,8.49,62712
2020-01-06,8.48,70736
2020-01-03,8.44,64671
2020-01-02,8.39,78971
2019-12-31,8.24,46571
2019-12-30,8.28,77339
2019-12-27,8.1,42220
2019-12-26,8.11,23983
2019-12-25,8.07,19530
2019-12-24,8.07,25257
2019-12-23,8.02,39461
2019-12-20,8.2,45133
2019-12-19,8.22,25599
2019-12-18,8.21,53490
2019-12-17,8.27,92490
2019-12-16,8.15,51538
2019-12-13,8.13,81205
2019-12-12,7.85,18463
2019-12-11,7.89,19103
2019-12-10,7.91,24344
2019-12-09,7.87,22995
2019-12-06,7.85,17802
2019-12-05,7.84,24459
2019-12-04,7.8,16769
2019-12-03,7.82,24341
2019-12-02,7.86,14971
2019-11-29,7.84,18810
2019-11-28,7.82,15678
2019-11-27,7.79,15417
2019-11-26,7.77,12695
2019-11-25,7.8,18459
2019-11-22,7.75,25790
2019-11-21,7.85,13495
2019-11-20,7.84,15172
2019-11-19,7.9,15435
2019-11-18,7.79,12504
2019-11-15,7.75,15973
2019-11-14,7.82,14728
2019-11-13,7.83,16930
2019-11-12,7.87,16535
2019-11-11,7.89,30017
2019-11-08,8.08,18789
2019-11-07,8.08,16709
2019-11-06,8.08,28388
2019-11-05,8.18,28953
2019-11-04,8.16,24812
2019-11-01,8.23,38479
2019-10-31,8.02,16715
2019-10-30,8.05,15803
2019-10-29,8.07,17232
2019-10-28,8.14,31468
2019-10-25,8.09,20971
2019-10-24,8.05,17118
2019-10-23,8.0,13797
2019-10-22,8.06,16646
2019-10-21,8.02,20135
2019-10-18,8.04,22216
2019-10-17,8.19,17781
2019-10-16,8.17,20083
