Date,Close,Volume
2020-02-26,11.62,319984
2020-02-25,11.55,303394
2020-02-24,11.93,247999
2020-02-21,11.85,244569
2020-02-20,11.62,211722
2020-02-19,11.22,177904
2020-02-18,11.34,169868
2020-02-17,11.22,186423
2020-02-14,10.71,122538
2020-02-13,10.7,131211
2020-02-12,10.97,123866
2020-02-11,10.82,125457
2020-02-10,10.95,177566
2020-02-07,10.58,144681
2020-02-06,10.6,180483
2020-02-05,10.52,241685
2020-02-04,10.09,307994
2020-02-03,10.42,30509
2020-01-23,11.58,216075
2020-01-22,11.99,217626
2020-01-21,11.66,209539
2020-01-20,11.62,222299
2020-01-17,11.15,175841
2020-01-16,11.47,122707
2020-01-15,11.73,153375
2020-01-14,11.55,197267
2020-01-13,11.59,164549
2020-01-10,11.23,150232
2020-01-09,11.39,169541
2020-01-08,11.56,237478
2020-01-07,11.48,174368
2020-01-06,11.26,145291
2020-01-03,11.29,146856
2020-01-02,11.45,263835
2019-12-31,10.77,78623
2019-12-30,10.88,143087
2019-12-27,10.58,116375
2019-12-26,10.79,79413
2019-12-25,10.83,96713
2019-12-24,10.93,125205
2019-12-23,10.55,119367
2019-12-20,10.6,135269
2019-12-19,10.77,115333
2019-12-18,10.78,213769
2019-12-17,10.81,246474
2019-12-16,10.43,183020
2019-12-13,10.19,124737
2019-12-12,10.17,129848
2019-12-11,10.19,192036
2019-12-10,10.11,172341
2019-12-09,10.02,162211
2019-12-06,9.83,151071
2019-12-05,9.86,170846
2019-12-04,9.64,106146
2019-12-03,9.82,96908
2019-12-02,9.7,106873
2019-11-29,9.69,97951
2019-11-28,9.58,77846
2019-11-27,9.38,55734
2019-11-26,9.37,57427
2019-11-25,9.58,80905
2019-11-22,9.56,119158
2019-11-21,9.82,118723
2019-11-20,9.74,131590
2019-11-19,9.84,150927
2019-11-18,9.6,103360
2019-11-15,9.6,117460
2019-11-14,9.63,107510
2019-11-13,9.69,146758
2019-11-12,9.61,140706
2019-11-11,9.07,64813
2019-11-08,9.25,63559
2019-11-07,9.33,70558
2019-11-06,9.34,78197
2019-11-05,9.2,68887
2019-11-04,9.25,91394
2019-11-01,9.19,77452
2019-10-31,9.08,84847
2019-10-30,9.1,151665
2019-10-29,9.48,113655
2019-10-28,9.78,171815
2019-10-25,9.65,172415
2019-10-24,9.34,83506
2019-10-23,9.32,118405
2019-10-22,9.51,130696
2019-10-21,9.47,139001
2019-10-18,9.6,173872
2019-10-17,9.82,154373
2019-10-16,9.88,243306
2019-10-15,10.01,304404
2019-10-14,9.83,316863
2019-10-11,9.82,307043
2019-10-10,10.05,507627
2019-10-09,9.67,401083
2019-10-08,8.79,104808
2019-09-30,8.46,43015
2019-09-27,8.51,52484
2019-09-26,8.61,60452
2019-09-25,8.82,65976
2019-09-24,8.92,105734
2019-09-23,8.7,97741
2019-09-20,9.0,95802
2019-09-19,8.81,32555
2019-09-18,8.79,35380
2019-09-17,8.73,65865
2019-09-16,8.99,55438
2019-09-12,8.93,56265
2019-09-11,8.89,69824
2019-09-10,9.02,92347
2019-09-09,8.93,86780
2019-09-06,8.91,48166
2019-09-05,8.85,106539
2019-09-04,8.92,99237
2019-09-03,8.74,47354
2019-09-02,8.75,94655
2019-08-30,8.47,62381
2019-08-29,8.56,57915
2019-08-28,8.54,109747
2019-08-27,8.68,167972
2019-08-26,8.33,132084
2019-08-23,7.99,30213
2019-08-22,8.06,26907
2019-08-21,8.06,24006
2019-08-20,8.09,37548
2019-08-19,8.14,57910
2019-08-16,7.9,27086
2019-08-15,7.89,33009
2019-08-14,7.85,30857
2019-08-13,7.82,20506
2019-08-12,7.84,24063
2019-08-09,7.76,33048
2019-08-08,7.88,22587
2019-08-07,7.83,34310
2019-08-06,7.88,82551
2019-08-05,8.27,35926
2019-08-02,8.36,51434
2019-08-01,8.59,28240
2019-07-31,8.64,32447
2019-07-30,8.64,33829
2019-07-29,8.64,27838
2019-07-26,8.66,30548
2019-07-25,8.64,34039
2019-07-24,8.65,51556
2019-07-23,8.53,42752
2019-07-22,8.5,89196
2019-07-19,8.84,27402
2019-07-18,8.81,38429
2019-07-17,8.98,30402
2019-07-16,9.03,29031
2019-07-15,8.98,43931
2019-07-12,8.9,24064
2019-07-11,8.88,28399
2019-07-10,8.92,27872
2019-07-09,8.98,27758
2019-07-08,8.93,59338
2019-07-05,9.24,30777
2019-07-04,9.19,40774
2019-07-03,9.18,41756
2019-07-02,9.27,60627
2019-07-01,9.26,77141
2019-06-28,9.06,36808
2019-06-27,9.14,43690
2019-06-26,9.14,41192
2019-06-25,9.14,70578
2019-06-24,9.26,72543
2019-06-21,9.4,117962
2019-06-20,9.38,119899
2019-06-19,9.28,80561
2019-06-18,9.12,36110
2019-06-17,9.13,41291
2019-06-14,9.02,62579
2019-06-13,9.24,52245
2019-06-12,9.25,72555
2019-06-11,9.37,140358
2019-06-10,9.19,128223
2019-06-06,8.75,35423
2019-06-05,8.85,37060
2019-06-04,8.78,45998
2019-06-03,8.87,42564
2019-05-31,9.01,33412
2019-05-30,9.01,50729
2019-05-29,9.13,61622
2019-05-28,9.22,103125
2019-05-27,9.05,49085
2019-05-24,8.89,36463
2019-05-23,8.98,46865
2019-05-22,9.08,41008
2019-05-21,9.14,52969
2019-05-20,9.0,47207
2019-05-17,8.88,82578
2019-05-16,9.25,50096
2019-05-15,9.2,60815
2019-05-14,9.08,53139
2019-05-13,9.21,61130
2019-05-10,9.16,79272
2019-05-09,8.95,50738
2019-05-08,8.98,54257
2019-05-07,9.01,66735
2019-05-06,8.9,147453
2019-04-30,9.79,68832
2019-04-29,9.77,142670
2019-04-26,10.15,120518
2019-04-25,10.09,167768
2019-04-24,10.52,96090
2019-04-23,10.39,122323
2019-04-22,10.66,121012
2019-04-19,10.79,114722
2019-04-18,10.68,131769
2019-04-17,10.87,161114
2019-04-16,10.88,221636
2019-04-15,10.9,236295
2019-04-12,11.18,268939
2019-04-11,11.34,460947
2019-04-10,10.72,141535
2019-04-09,10.92,113651
2019-04-08,10.81,192583
2019-04-04,11.02,185459
