Date,Close,Volume
2020-02-26,5.61,95584
2020-02-25,5.52,97343
2020-02-24,5.69,84184
2020-02-21,5.78,61153
2020-02-20,5.78,59009
2020-02-19,5.71,52192
2020-02-18,5.75,63710
2020-02-17,5.75,50512
2020-02-14,5.69,41417
2020-02-13,5.6,50633
2020-02-12,5.72,57668
2020-02-11,5.81,79750
2020-02-10,5.82,95520
2020-02-07,5.54,131900
2020-02-06,5.74,109908
2020-02-05,5.83,130230
2020-02-04,5.99,19420
2020-02-03,6.3,2338
2020-01-23,6.63,101236
2020-01-22,6.53,58139
2020-01-21,6.22,55530
2020-01-20,6.4,51943
2020-01-17,6.49,50569
2020-01-16,6.59,31018
2020-01-15,6.59,36710
2020-01-14,6.65,36407
2020-01-13,6.62,57571
2020-01-10,6.71,39293
2020-01-09,6.75,40385
2020-01-08,6.66,82000
2020-01-07,6.85,60627
2020-01-06,6.85,61119
2020-01-03,6.93,48846
2020-01-02,6.96,86033
2019-12-31,6.81,33246
2019-12-30,6.81,57657
2019-12-27,6.88,46748
2019-12-26,6.9,77426
2019-12-25,6.99,79271
2019-12-24,6.88,61374
2019-12-23,6.95,115187
2019-12-20,6.95,123197
2019-12-19,6.76,74992
2019-12-18,6.77,80711
2019-12-17,6.88,87875
2019-12-16,6.9,45918
2019-12-13,6.88,50902
2019-12-12,6.74,34828
2019-12-11,6.82,45361
2019-12-10,6.91,92837
2019-12-09,6.8,28003
2019-12-06,6.8,52912
2019-12-05,6.67,38022
2019-12-04,6.65,49131
2019-12-03,6.51,47450
2019-12-02,6.59,60209
2019-11-29,6.61,56685
2019-11-28,6.8,40331
2019-11-27,6.87,42682
2019-11-26,6.94,47528
2019-11-25,7.02,66606
2019-11-22,7.18,145751
2019-11-21,6.95,148328
2019-11-20,7.11,224267
2019-11-19,7.48,12674
2019-11-18,7.12,4294
2019-11-12,6.78,91615
2019-11-11,6.46,47367
2019-11-08,6.46,38420
2019-11-07,6.39,40430
2019-11-06,6.37,29619
2019-11-05,6.42,33346
2019-11-04,6.4,65009
2019-11-01,6.45,116320
2019-10-31,6.14,94522
2019-10-30,6.46,85732
2019-10-29,6.37,111230
2019-10-28,6.7,48846
2019-10-25,6.78,51471
2019-10-24,6.67,50616
2019-10-23,6.62,49512
