Date,Close,Volume
2020-02-26,3.93,71492
2020-02-25,3.86,72032
2020-02-24,3.96,54218
2020-02-21,4.01,78557
2020-02-20,3.95,66076
2020-02-19,3.9,56549
2020-02-18,3.92,67861
2020-02-17,3.86,62397
2020-02-14,3.77,55662
2020-02-13,3.8,106044
2020-02-12,3.95,182974
2020-02-11,4.02,72795
2020-02-10,3.65,59899
2020-02-07,3.58,59572
2020-02-06,3.53,70142
2020-02-05,3.53,57623
2020-02-04,3.4,82100
2020-02-03,3.6,13776
2020-01-23,4.0,95725
2020-01-22,4.31,33394
2020-01-21,4.3,43346
2020-01-20,4.38,34628
2020-01-17,4.37,31046
2020-01-16,4.42,67953
2020-01-15,4.52,60183
2020-01-14,4.63,61841
2020-01-13,4.59,67523
2020-01-10,4.66,136494
2020-01-09,4.63,49411
2020-01-08,4.56,71864
2020-01-07,4.69,74589
2020-01-06,4.61,61255
2020-01-03,4.6,52727
2020-01-02,4.58,60576
2019-12-31,4.52,34745
2019-12-30,4.49,51754
2019-12-27,4.55,49640
2019-12-26,4.59,44934
2019-12-25,4.54,45926
2019-12-24,4.56,42272
2019-12-23,4.44,42015
2019-12-20,4.56,58467
2019-12-19,4.69,69731
2019-12-18,4.62,87279
2019-12-17,4.59,89210
2019-12-16,4.51,59633
2019-12-13,4.44,42313
2019-12-12,4.4,72550
2019-12-11,4.53,98042
2019-12-10,4.48,46884
2019-12-09,4.46,31837
2019-12-06,4.47,37529
2019-12-05,4.42,38570
2019-12-04,4.39,45846
2019-12-03,4.33,32984
2019-12-02,4.29,25104
2019-11-29,4.26,36401
2019-11-28,4.31,55364
2019-11-27,4.44,85385
2019-11-26,4.33,39128
2019-11-25,4.3,54630
2019-11-22,4.43,88113
2019-11-21,4.61,87091
2019-11-20,4.47,75120
2019-11-19,4.47,63353
2019-11-18,4.43,87522
2019-11-15,4.39,59556
2019-11-14,4.34,57789
2019-11-13,4.4,60209
2019-11-12,4.33,62903
2019-11-11,4.18,45307
2019-11-08,4.34,30509
2019-11-07,4.37,40387
2019-11-06,4.31,44167
2019-11-05,4.35,29105
2019-11-04,4.38,33095
2019-11-01,4.39,43477
2019-10-31,4.31,52067
2019-10-30,4.44,45309
2019-10-29,4.47,54770
2019-10-28,4.6,61505
2019-10-25,4.56,38706
2019-10-24,4.52,33655
2019-10-23,4.53,38712
2019-10-22,4.65,58266
2019-10-21,4.65,61302
2019-10-18,4.62,57657
2019-10-17,4.75,59610
2019-10-16,4.85,93492
2019-10-15,5.05,163010
2019-10-14,4.98,82845
2019-10-11,4.9,66508
2019-10-10,4.87,56823
2019-10-09,4.86,66445
2019-10-08,4.79,58979
2019-09-30,4.77,52589
2019-09-27,4.87,95317
2019-09-26,4.74,109715
2019-09-25,5.04,83786
2019-09-24,5.06,92527
2019-09-23,5.12,93336
2019-09-20,5.09,77946
2019-09-19,5.14,144153
2019-09-18,5.19,157872
2019-09-17,5.41,241937
2019-09-16,5.35,100591
2019-09-12,5.34,100203
2019-09-11,5.31,177472
2019-09-10,5.48,193383
2019-09-09,5.56,227829
2019-09-06,5.59,265698
2019-09-05,5.62,353644
2019-09-04,5.77,433857
2019-09-03,5.91,664426
2019-09-02,6.19,617815
2019-08-30,5.63,629354
2019-08-29,6.25,787583
2019-08-28,5.68,577086
2019-08-27,5.16,458036
2019-08-26,5.1,467898
2019-08-23,5.32,661474
2019-08-22,5.91,913791
2019-08-21,5.41,56004
2019-08-20,4.92,191341
2019-08-19,4.47,92618
2019-08-16,4.06,60576
2019-08-15,3.96,23937
2019-08-14,3.95,18142
2019-08-13,3.95,25732
2019-08-12,3.97,25958
2019-08-09,3.86,18011
2019-08-08,3.9,26380
2019-08-07,3.9,28234
2019-08-06,3.96,43555
2019-08-05,4.11,22513
2019-08-02,4.21,24269
2019-08-01,4.28,16706
2019-07-31,4.29,24170
2019-07-30,4.36,19852
2019-07-29,4.34,38931
2019-07-26,4.44,42953
2019-07-25,4.45,53270
2019-07-24,4.5,66999
2019-07-23,4.31,41681
2019-07-22,4.22,57619
2019-07-19,4.43,81908
2019-07-18,4.29,21927
2019-07-17,4.4,24761
2019-07-16,4.4,16958
2019-07-15,4.37,25404
2019-07-12,4.32,16170
2019-07-11,4.26,13964
2019-07-10,4.29,12689
2019-07-09,4.34,20957
2019-07-08,4.36,50133
2019-07-05,4.5,18847
2019-07-04,4.53,23826
2019-07-03,4.51,27608
2019-07-02,4.61,32813
2019-07-01,4.61,57893
2019-06-28,4.47,26818
2019-06-27,4.52,33213
2019-06-26,4.53,31855
2019-06-25,4.56,56955
2019-06-24,4.68,62319
2019-06-21,4.62,73885
2019-06-20,4.53,47457
2019-06-19,4.48,49231
2019-06-18,4.48,33817
2019-06-17,4.51,56529
