Date,Close,Volume
2020-02-26,6.01,37216
2020-02-25,5.98,43723
2020-02-24,6.07,35368
2020-02-21,6.16,41563
2020-02-20,6.15,42305
2020-02-19,6.15,70515
2020-02-18,5.93,50608
2020-02-17,5.75,58197
2020-02-14,5.57,25380
2020-02-13,5.63,41881
2020-02-12,5.75,43650
2020-02-11,5.7,41555
2020-02-10,5.66,37759
2020-02-07,5.5,29223
2020-02-06,5.59,41289
2020-02-05,5.6,28766
2020-02-04,5.56,50251
2020-02-03,6.01,2258
2020-01-23,6.68,24697
2020-01-22,6.95,20955
2020-01-21,7.02,30573
2020-01-20,7.07,23802
2020-01-17,7.07,54920
2020-01-16,7.18,80856
2020-01-15,6.94,12793
2020-01-14,7.0,15648
2020-01-13,7.07,38286
2020-01-10,7.07,25567
2020-01-09,7.01,14964
2020-01-08,7.03,27507
2020-01-07,7.09,41397
2020-01-06,7.07,31706
2020-01-03,7.01,26566
2020-01-02,6.96,19655
2019-12-31,6.94,17448
2019-12-30,6.92,18300
2019-12-27,6.99,13059
2019-12-26,7.1,5963
2019-12-25,7.12,8878
2019-12-24,7.12,10832
2019-12-23,7.09,13051
2019-12-20,7.2,16829
2019-12-19,7.23,16531
2019-12-18,7.23,27579
2019-12-17,7.2,29567
2019-12-16,7.2,35164
2019-12-13,7.13,15862
2019-12-12,7.11,14205
2019-12-11,7.09,24209
2019-12-10,7.03,15204
2019-12-09,7.02,10622
2019-12-06,7.02,10133
2019-12-05,7.06,10678
2019-12-04,7.08,10482
2019-12-03,7.07,21989
2019-12-02,6.88,5574
2019-11-29,6.86,4815
2019-11-28,6.93,8230
2019-11-27,7.01,12078
2019-11-26,7.0,11414
2019-11-25,7.03,13075
2019-11-22,7.05,27994
2019-11-21,6.78,8053
2019-11-20,6.73,6766
2019-11-19,6.77,5272
2019-11-18,6.77,5001
2019-11-15,6.78,5247
2019-11-14,6.77,9046
2019-11-13,6.75,5665
2019-11-12,6.77,9287
2019-11-11,6.84,10208
2019-11-08,6.92,11308
2019-11-07,6.93,11927
2019-11-06,6.94,7290
2019-11-05,7.01,14290
2019-11-04,6.97,9314
2019-11-01,7.0,15133
2019-10-31,6.99,11318
2019-10-30,6.99,15393
2019-10-29,7.11,20672
2019-10-28,7.08,18552
2019-10-25,7.06,20045
2019-10-24,6.92,16026
2019-10-23,6.95,17428
2019-10-22,6.92,21301
2019-10-21,6.99,24176
2019-10-18,7.05,15004
2019-10-17,7.2,19418
2019-10-16,7.21,16892
2019-10-15,7.23,29253
2019-10-14,7.28,42948
2019-10-11,7.35,36504
2019-10-10,7.38,48264
2019-10-09,7.08,32633
2019-10-08,6.9,12920
2019-09-30,6.8,9035
2019-09-27,6.89,17822
2019-09-26,6.88,20371
2019-09-25,7.08,14734
2019-09-24,7.1,11684
2019-09-23,7.11,17562
2019-09-20,7.18,26620
2019-09-19,7.05,12751
2019-09-18,7.05,24659
2019-09-17,6.98,25887
2019-09-16,7.15,28477
2019-09-12,7.26,28211
2019-09-11,7.3,65673
2019-09-10,7.13,32974
2019-09-09,7.2,44693
2019-09-06,7.25,51660
2019-09-05,7.33,72715
2019-09-04,7.38,43455
2019-09-03,7.48,61814
2019-09-02,7.2,51128
2019-08-30,6.87,29697
2019-08-29,7.0,29730
2019-08-28,6.92,26381
2019-08-27,6.88,61851
2019-08-26,6.85,42290
2019-08-23,6.54,19121
2019-08-22,6.47,23353
2019-08-21,6.47,14757
2019-08-20,6.5,28871
2019-08-19,6.51,46210
2019-08-16,6.35,50036
2019-08-15,6.23,39208
2019-08-14,6.2,19379
2019-08-13,6.2,14551
2019-08-12,6.36,15492
2019-08-09,6.38,16540
2019-08-08,6.39,13621
2019-08-07,6.44,14900
2019-08-06,6.52,24594
2019-08-05,6.84,12620
2019-08-02,6.9,12266
2019-08-01,7.07,9048
2019-07-31,7.06,8678
2019-07-30,7.09,33299
2019-07-29,7.05,21068
2019-07-26,6.99,17520
2019-07-25,6.89,19424
2019-07-24,6.98,37673
2019-07-23,6.84,38933
2019-07-22,6.47,39498
2019-07-19,6.85,17222
2019-07-18,6.84,11187
2019-07-17,6.98,14496
2019-07-16,7.05,23043
2019-07-15,6.97,19984
2019-07-12,6.93,21952
2019-07-11,6.91,25961
2019-07-10,6.95,28253
2019-07-09,6.95,39426
2019-07-08,7.16,26728
2019-07-05,7.44,21959
2019-07-04,7.43,30806
2019-07-03,7.42,33395
2019-07-02,7.51,48252
2019-07-01,7.6,49951
2019-06-28,7.72,33283
2019-06-27,7.7,26737
2019-06-26,7.73,44121
2019-06-25,7.66,57498
2019-06-24,7.85,34343
2019-06-21,7.89,59765
2019-06-20,7.9,24471
2019-06-19,7.82,18373
2019-06-18,7.74,15499
2019-06-17,7.75,26140
2019-06-14,7.9,34821
2019-06-13,7.9,40842
2019-06-12,7.77,60165
2019-06-11,7.7,81187
2019-06-10,7.4,39821
2019-06-06,7.19,47719
2019-06-05,7.15,97478
2019-06-04,7.94,27355
2019-06-03,8.06,19828
2019-05-31,8.31,21443
2019-05-30,8.31,39196
2019-05-29,8.65,27973
2019-05-28,8.72,33270
2019-05-27,8.88,21316
2019-05-24,8.7,22341
2019-05-23,8.83,21964
2019-05-22,8.89,20030
2019-05-21,9.06,46448
2019-05-20,8.99,21878
2019-05-17,9.05,58566
2019-05-16,9.12,62134
2019-05-15,8.75,63809
2019-05-14,8.3,41782
2019-05-13,8.34,45426
2019-05-10,8.36,75576
2019-05-09,8.22,71035
2019-05-08,8.37,72533
2019-05-07,8.38,106979
2019-05-06,8.27,78776
2019-04-30,9.19,102047
2019-04-29,9.38,112784
2019-04-26,9.39,70674
2019-04-25,9.34,132289
2019-04-24,10.05,76782
2019-04-23,9.95,109086
2019-04-22,10.48,119259
2019-04-19,10.6,77652
2019-04-18,10.71,116299
2019-04-17,11.03,176458
2019-04-16,10.25,176293
2019-04-15,10.64,176224
2019-04-12,11.0,80263
2019-04-11,10.9,83485
2019-04-10,10.9,88212
2019-04-09,10.79,128743
2019-04-08,10.62,180636
2019-04-04,10.63,130950
2019-04-03,10.26,120847
2019-04-02,9.89,136394
2019-04-01,9.27,128280
2019-03-29,8.79,53143
2019-03-28,8.68,66006
2019-03-27,8.79,100034
2019-03-26,8.86,77436
2019-03-25,9.0,101868
2019-03-22,9.15,90660
2019-03-21,9.2,131971
2019-03-20,9.3,84310
2019-03-19,9.08,77993
2019-03-18,9.24,94832
2019-03-15,8.46,66666
2019-03-14,8.45,59928
2019-03-13,8.43,70725
2019-03-12,8.42,94992
