Date,Close,Volume
2020-02-26,4.79,111083
2020-02-25,4.74,112976
2020-02-24,4.87,79234
2020-02-21,4.93,83749
2020-02-20,4.91,63867
2020-02-19,4.84,62084
2020-02-18,4.9,52081
2020-02-17,4.87,88138
2020-02-14,4.73,42621
2020-02-13,4.77,42664
2020-02-12,4.84,41550
2020-02-11,4.8,46271
2020-02-10,4.73,46977
2020-02-07,4.67,73555
2020-02-06,4.63,53843
2020-02-05,4.61,74443
2020-02-04,4.54,138202
2020-02-03,4.78,19076
2020-01-23,5.31,55786
2020-01-22,5.44,33683
2020-01-21,5.41,34362
2020-01-20,5.5,27356
2020-01-17,5.5,29699
2020-01-16,5.53,28708
2020-01-15,5.58,34405
2020-01-14,5.62,37595
2020-01-13,5.66,42562
2020-01-10,5.67,44355
2020-01-09,5.63,43054
2020-01-08,5.58,68791
2020-01-07,5.71,50994
2020-01-06,5.65,62755
2020-01-03,5.69,44301
2020-01-02,5.69,74083
2019-12-31,5.63,40565
2019-12-30,5.61,28869
2019-12-27,5.55,44632
2019-12-26,5.58,35107
2019-12-25,5.51,21938
2019-12-24,5.52,24409
2019-12-23,5.49,39180
2019-12-20,5.59,40732
2019-12-19,5.64,37062
2019-12-18,5.6,56256
2019-12-17,5.65,67998
2019-12-16,5.58,58787
2019-12-13,5.53,69941
2019-12-12,5.43,26670
2019-12-11,5.46,37660
2019-12-10,5.4,23907
2019-12-09,5.43,24704
2019-12-06,5.43,30582
2019-12-05,5.4,22945
2019-12-04,5.36,18588
2019-12-03,5.39,16950
2019-12-02,5.38,17606
2019-11-29,5.37,16405
2019-11-28,5.38,15008
2019-11-27,5.38,13475
2019-11-26,5.38,19238
2019-11-25,5.44,31152
2019-11-22,5.42,30600
2019-11-21,5.42,16911
2019-11-20,5.43,19084
2019-11-19,5.48,29350
2019-11-18,5.45,32157
2019-11-15,5.52,54623
2019-11-14,5.44,30071
2019-11-13,5.52,46728
2019-11-12,5.39,19996
2019-11-11,5.39,41869
2019-11-08,5.63,26119
2019-11-07,5.62,26507
2019-11-06,5.67,27011
2019-11-05,5.69,26235
2019-11-04,5.7,26059
2019-11-01,5.7,22117
2019-10-31,5.68,26084
2019-10-30,5.73,32925
2019-10-29,5.8,55650
2019-10-28,5.95,57913
2019-10-25,5.93,37125
2019-10-24,5.83,15900
2019-10-23,5.82,22200
2019-10-22,5.88,35163
2019-10-21,5.9,63308
2019-10-18,5.96,69013
2019-10-17,6.11,42721
2019-10-16,6.11,98649
2019-10-15,6.25,197270
2019-10-14,6.07,99714
2019-10-11,5.99,39528
2019-10-10,5.99,40876
2019-10-09,5.92,19593
2019-10-08,5.88,33525
2019-09-30,5.87,47076
2019-09-27,5.85,25765
2019-09-26,5.78,49268
2019-09-25,5.91,44306
2019-09-24,6.02,40005
2019-09-23,6.05,42463
2019-09-20,6.08,44441
2019-09-19,6.09,40184
2019-09-18,6.02,35580
2019-09-17,6.02,84989
2019-09-16,6.11,76528
2019-09-12,6.19,53271
2019-09-11,6.16,78278
2019-09-10,6.18,152229
2019-09-09,6.36,147120
2019-09-06,6.36,229280
2019-09-05,6.3,244011
2019-09-04,6.34,258804
2019-09-03,6.14,158629
2019-09-02,6.08,167151
2019-08-30,6.12,308052
2019-08-29,6.05,182787
2019-08-28,6.03,142832
2019-08-27,6.14,220158
2019-08-26,6.1,254198
2019-08-23,6.2,397163
2019-08-22,6.51,463052
2019-08-21,6.5,784520
2019-08-20,6.41,499024
2019-08-19,5.83,93051
2019-08-16,5.3,39127
2019-08-15,5.23,49114
2019-08-14,5.29,81160
2019-08-13,5.31,118229
2019-08-12,5.16,17231
2019-08-09,5.08,17000
2019-08-08,5.1,21581
