Date,Close,Volume
2020-02-26,5.22,141268
2020-02-25,5.17,169270
2020-02-24,5.28,127040
2020-02-21,5.36,117810
2020-02-20,5.35,109621
2020-02-19,5.25,81636
2020-02-18,5.26,83118
2020-02-17,5.22,102932
2020-02-14,5.09,56411
2020-02-13,5.12,74471
2020-02-12,5.18,73779
2020-02-11,5.14,97744
2020-02-10,5.1,106628
2020-02-07,4.97,84516
2020-02-06,4.98,101683
2020-02-05,4.95,101937
2020-02-04,4.89,193685
2020-02-03,5.21,18347
2020-01-23,5.79,61684
2020-01-22,5.89,62979
2020-01-21,5.9,51155
2020-01-20,5.98,56922
2020-01-17,6.0,57299
2020-01-16,6.05,57928
2020-01-15,6.07,73520
2020-01-14,6.12,61674
2020-01-13,6.13,52382
2020-01-10,6.14,56612
2020-01-09,6.13,71475
2020-01-08,6.07,138930
2020-01-07,6.19,85100
2020-01-06,6.17,118758
2020-01-03,6.21,103433
2020-01-02,6.22,126663
2019-12-31,6.14,65956
2019-12-30,6.16,94945
2019-12-27,6.14,115295
2019-12-26,6.15,79039
2019-12-25,6.1,92723
2019-12-24,6.14,105906
2019-12-23,6.11,188232
2019-12-20,6.31,366817
2019-12-19,6.56,292605
2019-12-18,6.66,265822
2019-12-17,6.66,436755
2019-12-16,6.6,471982
2019-12-13,6.39,382092
2019-12-12,6.16,146300
2019-12-11,6.11,101020
2019-12-10,6.18,90739
2019-12-09,6.18,122227
2019-12-06,6.24,134535
2019-12-05,6.23,182593
2019-12-04,6.23,191452
2019-12-03,6.12,100793
2019-12-02,6.1,104749
2019-11-29,6.17,107706
2019-11-28,6.15,109158
2019-11-27,6.12,104616
2019-11-26,6.06,97822
2019-11-25,6.12,163021
2019-11-22,6.03,170905
2019-11-21,5.9,49439
2019-11-20,5.91,80257
2019-11-19,6.03,110749
2019-11-18,5.98,100557
2019-11-15,5.97,168908
2019-11-14,5.82,48739
2019-11-13,5.9,87474
2019-11-12,5.76,48624
2019-11-11,5.77,88090
2019-11-08,5.97,56569
2019-11-07,5.98,63161
2019-11-06,5.99,74301
2019-11-05,5.98,65233
2019-11-04,5.95,69286
2019-11-01,5.88,60348
2019-10-31,5.88,80557
2019-10-30,5.95,70146
2019-10-29,5.93,76868
2019-10-28,6.01,107339
2019-10-25,6.02,133909
2019-10-24,5.85,56403
2019-10-23,5.87,111535
2019-10-22,6.05,154033
2019-10-21,5.86,95955
2019-10-18,5.99,132643
