Date,Close,Volume
2020-02-26,13.67,110998
2020-02-25,14.23,163695
2020-02-24,14.06,107298
2020-02-21,13.67,102288
2020-02-20,13.44,93292
2020-02-19,13.07,83722
2020-02-18,13.01,102453
2020-02-17,12.89,142585
2020-02-14,12.02,74372
2020-02-13,12.2,80390
2020-02-12,12.41,68170
2020-02-11,12.34,80794
2020-02-10,12.57,102406
2020-02-07,12.09,72549
2020-02-06,12.19,85418
2020-02-05,12.13,102414
2020-02-04,12.2,114086
2020-02-03,12.5,8207
2020-01-23,13.89,84143
2020-01-22,14.51,97051
2020-01-21,14.91,116406
2020-01-20,15.79,103130
2020-01-17,15.43,86982
2020-01-16,15.24,68776
2020-01-15,15.31,91130
2020-01-14,15.41,196056
2020-01-13,14.83,144881
2020-01-10,14.43,49513
2020-01-09,14.51,82914
2020-01-08,14.27,87107
2020-01-07,14.49,73832
2020-01-06,14.25,59441
2020-01-03,14.21,58657
2020-01-02,14.36,115282
2019-12-31,13.8,51755
2019-12-30,13.88,55601
2019-12-27,13.78,55210
2019-12-26,13.97,55282
2019-12-25,14.0,46894
2019-12-24,13.9,47597
2019-12-23,13.85,74859
2019-12-20,14.44,57025
2019-12-19,14.52,61346
2019-12-18,14.55,105769
2019-12-17,14.28,93045
2019-12-16,14.1,68215
2019-12-13,14.11,93705
2019-12-12,14.5,89117
2019-12-11,14.11,61235
2019-12-10,13.66,30603
2019-12-09,13.81,55762
2019-12-06,14.12,30157
2019-12-05,14.11,28757
2019-12-04,14.12,46446
2019-12-03,14.39,37187
2019-12-02,14.25,35039
2019-11-29,14.23,26646
2019-11-28,14.39,39488
2019-11-27,14.07,27117
2019-11-26,14.01,19720
2019-11-25,14.12,37353
2019-11-22,13.89,29342
2019-11-21,14.15,28776
2019-11-20,14.31,26927
2019-11-19,14.7,21532
2019-11-18,14.54,21391
2019-11-15,14.34,31161
2019-11-14,14.63,35812
2019-11-13,14.74,30564
2019-11-12,14.95,38750
2019-11-11,15.06,29622
2019-11-08,15.3,65919
2019-11-07,14.75,57569
2019-11-06,14.23,64926
2019-11-05,14.44,50614
2019-11-04,14.71,64760
2019-11-01,15.45,33956
2019-10-31,15.15,24487
2019-10-30,15.13,25174
2019-10-29,15.2,20747
2019-10-28,15.55,21486
2019-10-25,15.46,24243
2019-10-24,15.51,37323
2019-10-23,15.28,42711
2019-10-22,14.93,27185
2019-10-21,14.75,13915
2019-10-18,14.72,29047
2019-10-17,15.27,22196
2019-10-16,15.14,26247
2019-10-15,15.5,31746
2019-10-14,15.95,41517
2019-10-11,15.48,34324
2019-10-10,15.7,39156
2019-10-09,15.72,36974
2019-10-08,15.97,44658
2019-09-30,16.24,29109
2019-09-27,16.9,45181
2019-09-26,17.39,52794
2019-09-25,17.9,58158
2019-09-24,18.61,59239
2019-09-23,18.1,48513
