Date,Close,Volume
2020-02-26,4.53,230692
2020-02-25,4.54,236117
2020-02-24,4.61,256130
2020-02-21,4.65,507904
2020-02-20,4.51,128994
2020-02-19,4.49,156169
2020-02-18,4.49,119166
2020-02-17,4.48,127135
2020-02-14,4.4,129389
2020-02-13,4.47,121413
2020-02-12,4.48,102872
2020-02-11,4.46,190881
2020-02-10,4.52,226857
2020-02-07,4.59,312168
2020-02-06,4.38,261693
2020-02-05,4.17,206918
2020-02-04,4.17,205686
2020-02-03,4.01,393700
2020-01-23,4.45,190380
2020-01-22,4.55,95564
2020-01-21,4.56,164708
2020-01-20,4.66,93088
2020-01-17,4.66,55776
2020-01-16,4.68,91945
2020-01-15,4.71,102660
2020-01-14,4.72,162924
2020-01-13,4.66,100173
2020-01-10,4.65,142543
2020-01-09,4.68,93990
2020-01-08,4.64,128032
2020-01-07,4.71,132665
2020-01-06,4.7,178759
2020-01-03,4.68,116075
2020-01-02,4.67,153038
2019-12-31,4.63,97053
2019-12-30,4.61,102761
2019-12-27,4.59,76471
2019-12-26,4.58,48119
2019-12-25,4.55,84625
2019-12-24,4.59,83886
2019-12-23,4.56,142832
2019-12-20,4.65,72664
2019-12-19,4.64,67354
2019-12-18,4.63,94114
2019-12-17,4.63,120897
2019-12-16,4.58,118753
2019-12-13,4.56,122783
2019-12-12,4.5,80001
2019-12-11,4.55,77465
2019-12-10,4.52,66389
2019-12-09,4.53,77103
2019-12-06,4.53,54395
2019-12-05,4.53,47022
2019-12-04,4.51,47509
2019-12-03,4.52,54721
2019-12-02,4.5,76881
2019-11-29,4.51,43969
2019-11-28,4.5,59917
2019-11-27,4.52,104419
2019-11-26,4.49,144548
2019-11-25,4.65,80631
2019-11-22,4.56,84561
2019-11-21,4.59,63336
2019-11-20,4.6,42285
2019-11-19,4.63,55877
2019-11-18,4.58,49415
2019-11-15,4.53,83038
2019-11-14,4.6,42577
2019-11-13,4.61,52737
2019-11-12,4.58,95467
2019-11-11,4.67,70985
2019-11-08,4.76,50755
2019-11-07,4.75,50904
2019-11-06,4.73,84218
2019-11-05,4.78,77070
2019-11-04,4.82,72555
2019-11-01,4.82,70444
2019-10-31,4.79,52823
2019-10-30,4.79,65345
2019-10-29,4.79,55179
2019-10-28,4.81,76186
2019-10-25,4.79,52962
2019-10-24,4.8,51034
2019-10-23,4.76,62495
2019-10-22,4.77,71509
2019-10-21,4.75,75654
2019-10-18,4.83,100964
2019-10-17,4.88,96340
2019-10-16,4.94,146321
2019-10-15,4.91,167595
2019-10-14,4.86,93945
2019-10-11,4.86,84258
2019-10-10,4.88,107690
2019-10-09,4.84,158198
2019-10-08,4.91,306379
2019-09-30,4.79,187152
2019-09-27,4.67,77739
2019-09-26,4.71,108707
2019-09-25,4.75,114415
2019-09-24,4.72,92148
2019-09-23,4.68,81144
2019-09-20,4.75,114525
2019-09-19,4.71,62053
2019-09-18,4.69,64114
2019-09-17,4.66,102093
2019-09-16,4.74,68093
2019-09-12,4.76,68084
2019-09-11,4.75,78745
2019-09-10,4.75,106613
2019-09-09,4.75,125534
2019-09-06,4.75,79452
2019-09-05,4.73,134693
2019-09-04,4.74,85216
2019-09-03,4.7,108872
2019-09-02,4.69,123381
2019-08-30,4.64,60393
2019-08-29,4.68,58589
2019-08-28,4.69,65344
2019-08-27,4.67,95736
2019-08-26,4.58,67346
2019-08-23,4.63,51310
2019-08-22,4.65,45911
2019-08-21,4.66,57001
2019-08-20,4.63,69327
2019-08-19,4.62,85384
2019-08-16,4.51,50707
2019-08-15,4.49,48287
2019-08-14,4.49,50946
2019-08-13,4.48,33083
2019-08-12,4.5,49323
2019-08-09,4.47,86495
2019-08-08,4.46,80723
2019-08-07,4.47,65806
2019-08-06,4.49,149570
2019-08-05,4.62,71656
2019-08-02,4.65,102752
2019-08-01,4.76,112573
2019-07-31,4.77,96301
2019-07-30,4.79,123640
2019-07-29,4.79,135223
2019-07-26,4.74,91360
2019-07-25,4.74,126364
2019-07-24,4.71,144592
2019-07-23,4.63,68605
2019-07-22,4.59,91208
2019-07-19,4.6,73102
2019-07-18,4.56,55271
2019-07-17,4.58,52611
2019-07-16,4.6,72339
2019-07-15,4.6,85721
2019-07-12,4.56,50702
2019-07-11,4.53,64322
2019-07-10,4.53,56257
2019-07-09,4.55,95178
2019-07-08,4.59,197395
2019-07-05,4.74,191207
2019-07-04,4.71,194714
2019-07-03,4.68,266596
2019-07-02,4.6,136953
2019-07-01,4.65,145111
2019-06-28,4.55,104083
2019-06-27,4.6,122841
2019-06-26,4.62,81400
2019-06-25,4.62,177499
2019-06-24,4.7,234235
2019-06-21,4.76,326500
2019-06-20,4.63,276122
2019-06-19,4.48,135030
2019-06-18,4.45,51376
2019-06-17,4.45,71873
2019-06-14,4.41,124328
2019-06-13,4.47,50289
2019-06-12,4.48,115528
2019-06-11,4.55,174106
2019-06-10,4.45,55090
2019-06-06,4.42,66048
2019-06-05,4.44,55532
2019-06-04,4.44,59718
2019-06-03,4.43,79166
2019-05-31,4.47,72200
2019-05-30,4.46,78309
2019-05-29,4.45,68928
2019-05-28,4.47,82919
2019-05-27,4.48,99463
2019-05-24,4.44,63969
2019-05-23,4.39,64183
2019-05-22,4.43,62755
2019-05-21,4.47,84535
2019-05-20,4.43,101093
2019-05-17,4.44,110431
2019-05-16,4.58,78602
2019-05-15,4.56,118579
2019-05-14,4.5,83597
2019-05-13,4.5,72413
2019-05-10,4.54,130999
2019-05-09,4.45,85438
2019-05-08,4.49,96857
2019-05-07,4.57,127354
2019-05-06,4.51,218579
2019-04-30,4.71,111150
2019-04-29,4.71,153684
2019-04-26,4.73,107146
2019-04-25,4.75,222482
2019-04-24,4.95,158899
2019-04-23,4.9,160641
2019-04-22,4.94,159286
2019-04-19,5.0,165384
2019-04-18,4.97,168650
2019-04-17,5.02,193858
2019-04-16,5.0,224731
2019-04-15,4.96,291752
2019-04-12,5.04,386554
2019-04-11,5.12,522622
2019-04-10,5.2,712288
2019-04-09,5.04,547782
2019-04-08,4.99,770246
2019-04-04,4.8,278038
2019-04-03,4.79,276368
2019-04-02,4.77,252525
2019-04-01,4.76,314268
2019-03-29,4.65,262413
2019-03-28,4.52,171928
2019-03-27,4.59,150893
2019-03-26,4.6,399263
2019-03-25,4.78,247659
2019-03-22,4.86,250514
2019-03-21,4.81,243273
2019-03-20,4.81,216203
2019-03-19,4.82,260568
2019-03-18,4.85,198833
2019-03-15,4.77,206169
2019-03-14,4.72,246772
2019-03-13,4.77,289192
2019-03-12,4.85,408886
2019-03-11,4.81,376967
2019-03-08,4.62,464631
2019-03-07,4.9,347792
2019-03-06,4.89,274104
2019-03-05,4.84,202692
2019-03-04,4.77,319318
2019-03-01,4.72,167733
2019-02-28,4.7,161843
2019-02-27,4.69,297601
2019-02-26,4.62,317059
2019-02-25,4.64,401142
2019-02-22,4.48,127269
2019-02-21,4.43,139505
2019-02-20,4.47,92802
2019-02-19,4.46,152922
2019-02-18,4.48,271351
2019-02-15,4.36,125719
2019-02-14,4.38,117461
2019-02-13,4.4,157239
2019-02-12,4.34,121327
2019-02-11,4.34,133053
2019-02-01,4.29,164843
2019-01-31,4.25,172338
2019-01-30,4.16,62736
2019-01-29,4.19,98318
2019-01-28,4.19,68435
2019-01-25,4.2,67589
2019-01-24,4.21,110883
2019-01-23,4.19,71679
2019-01-22,4.18,77227
2019-01-21,4.17,78810
2019-01-18,4.18,88077
2019-01-17,4.15,78509
2019-01-16,4.17,99003
2019-01-15,4.18,189176
2019-01-14,4.12,78835
2019-01-11,4.12,77889
2019-01-10,4.1,74751
2019-01-09,4.12,104958
2019-01-08,4.15,72986
2019-01-07,4.14,85315
2019-01-04,4.1,95343
2019-01-03,4.03,72255
2019-01-02,4.0,55656
2018-12-28,4.03,80938
2018-12-27,4.02,79471
2018-12-26,4.02,59317
2018-12-25,4.05,86260
2018-12-24,4.11,45685
2018-12-21,4.07,96773
2018-12-20,4.07,94327
2018-12-19,4.1,58726
2018-12-18,4.13,72298
2018-12-17,4.15,102451
2018-12-14,4.21,95040
2018-12-13,4.28,98350
2018-12-12,4.23,55231
2018-12-11,4.19,56561
2018-12-10,4.18,66002
2018-12-07,4.22,56626
2018-12-06,4.2,153510
2018-12-05,4.29,96938
2018-12-04,4.31,80690
2018-12-03,4.29,143307
2018-11-30,4.2,91320
2018-11-29,4.17,97484
2018-11-28,4.23,95020
2018-11-27,4.24,57798
2018-11-26,4.22,78284
2018-11-23,4.19,127990
2018-11-22,4.33,95106
2018-11-21,4.29,136337
2018-11-20,4.28,174430
2018-11-19,4.45,97713
2018-11-16,4.45,107575
2018-11-15,4.41,105794
2018-11-14,4.38,119857
2018-11-13,4.4,161572
2018-11-12,4.31,103221
2018-11-09,4.23,81875
2018-11-08,4.2,86545
2018-11-07,4.26,97933
2018-11-06,4.27,67116
2018-11-05,4.25,109355
2018-11-02,4.29,141195
2018-11-01,4.18,106593
2018-10-31,4.15,89375
2018-10-30,4.12,73691
2018-10-29,4.08,53361
2018-10-26,4.08,69972
2018-10-25,4.04,124120
2018-10-24,4.09,54903
2018-10-23,4.09,69807
2018-10-22,4.15,112103
2018-10-19,4.03,114535
2018-10-18,3.87,100078
2018-10-17,3.98,80586
2018-10-16,3.96,66460
2018-10-15,3.99,60751
2018-10-12,4.05,140580
2018-10-11,4.11,193281
2018-10-10,4.33,34571
2018-10-09,4.31,48224
2018-10-08,4.34,84762
2018-09-28,4.45,93244
2018-09-27,4.38,53786
2018-09-26,4.4,67887
2018-09-25,4.4,57632
2018-09-21,4.45,105436
2018-09-20,4.43,59302
2018-09-19,4.4,73425
2018-09-18,4.4,126103
2018-09-17,4.29,58474
2018-09-14,4.33,92113
2018-09-13,4.29,54135
2018-09-12,4.25,55364
2018-09-11,4.23,51915
2018-09-10,4.23,43203
2018-09-07,4.25,61737
2018-09-06,4.22,41636
2018-09-05,4.22,70343
2018-09-04,4.28,78792
2018-09-03,4.23,64336
2018-08-31,4.23,40905
2018-08-30,4.23,51526
2018-08-29,4.27,56980
2018-08-28,4.29,61978
2018-08-27,4.29,87997
2018-08-24,4.24,63918
2018-08-23,4.2,53211
2018-08-22,4.19,68036
2018-08-21,4.21,62783
2018-08-20,4.14,70142
2018-08-17,4.14,78811
2018-08-16,4.23,67503
2018-08-15,4.22,99604
2018-08-14,4.35,107235
2018-08-13,4.36,122761
2018-08-10,4.44,111374
2018-08-09,4.48,114904
2018-08-08,4.47,136337
2018-08-07,4.49,150584
2018-08-06,4.4,119911
2018-08-03,4.4,140123
2018-08-02,4.37,157802
2018-08-01,4.4,164792
2018-07-31,4.45,77749
2018-07-30,4.44,244744
2018-07-27,4.4,170075
2018-07-26,4.39,327436
2018-07-25,4.28,69290
2018-07-24,4.29,141807
2018-07-23,4.27,136569
2018-07-20,4.19,104651
2018-07-19,4.1,73271
2018-07-18,4.13,115919
2018-07-17,4.09,49002
2018-07-16,4.08,66365
2018-07-13,4.07,69729
2018-07-12,4.07,132198
2018-07-11,3.96,94521
