Date,Close,Volume
2020-02-26,9.37,46132
2020-02-25,9.36,43604
2020-02-24,9.4,40109
2020-02-21,9.37,38757
2020-02-20,9.43,35345
2020-02-19,9.29,35351
2020-02-18,9.27,33264
2020-02-17,9.26,57448
2020-02-14,8.69,23041
2020-02-13,8.77,28545
2020-02-12,8.8,28724
2020-02-11,8.7,30702
2020-02-10,8.62,29417
2020-02-07,8.53,26007
2020-02-06,8.53,34928
2020-02-05,8.43,39766
2020-02-04,8.42,49171
2020-02-03,8.63,6584
2020-01-23,9.59,35805
2020-01-22,9.96,28275
2020-01-21,9.83,23528
2020-01-20,10.02,20117
2020-01-17,9.9,15194
2020-01-16,9.95,18340
2020-01-15,9.95,16500
2020-01-14,9.98,23863
2020-01-13,10.05,32789
2020-01-10,9.92,25925
2020-01-09,9.83,23114
2020-01-08,9.73,40324
2020-01-07,9.98,37484
2020-01-06,10.0,82680
2020-01-03,10.32,54641
2020-01-02,9.96,36722
2019-12-31,9.87,50151
2019-12-30,9.5,22382
2019-12-27,9.55,30551
2019-12-26,9.61,23231
2019-12-25,9.58,16537
2019-12-24,9.62,15533
2019-12-23,9.59,24759
2019-12-20,9.72,24306
2019-12-19,9.85,23791
2019-12-18,9.84,25194
2019-12-17,9.88,30780
2019-12-16,9.77,27513
2019-12-13,9.61,18357
2019-12-12,9.57,15392
2019-12-11,9.57,18686
2019-12-10,9.6,18131
2019-12-09,9.6,24232
2019-12-06,9.47,13114
2019-12-05,9.49,19069
2019-12-04,9.31,10211
2019-12-03,9.3,19614
2019-12-02,9.39,23758
2019-11-29,9.38,17229
2019-11-28,9.38,18159
2019-11-27,9.49,13745
2019-11-26,9.53,18269
2019-11-25,9.66,21746
2019-11-22,9.45,21907
2019-11-21,9.52,22611
2019-11-20,9.66,17308
2019-11-19,9.78,17862
2019-11-18,9.69,13409
2019-11-15,9.7,19047
2019-11-14,9.83,31621
2019-11-13,9.68,29149
2019-11-12,9.73,63904
2019-11-11,10.0,50541
2019-11-08,10.41,51676
2019-11-07,10.43,41503
2019-11-06,10.35,42826
2019-11-05,10.18,23551
2019-11-04,10.23,23301
2019-11-01,10.29,26676
2019-10-31,10.29,37757
2019-10-30,10.28,38145
2019-10-29,9.97,26680
2019-10-28,10.22,26809
2019-10-25,10.14,18342
2019-10-24,10.14,16996
2019-10-23,10.13,20039
2019-10-22,10.35,24396
2019-10-21,10.43,29643
2019-10-18,10.25,19436
2019-10-17,10.3,17759
2019-10-16,10.27,20424
2019-10-15,10.36,38347
2019-10-14,10.32,39591
2019-10-11,10.18,32447
2019-10-10,10.01,21441
2019-10-09,9.92,13485
2019-10-08,9.78,20049
2019-09-30,9.66,11100
2019-09-27,9.75,11757
2019-09-26,9.67,30969
2019-09-25,10.02,17216
2019-09-24,10.1,25098
2019-09-23,10.11,28081
2019-09-20,10.09,35306
2019-09-19,10.1,43758
2019-09-18,10.25,42591
2019-09-17,10.39,83738
2019-09-16,10.73,73074
2019-09-12,10.54,119102
2019-09-11,10.15,61722
2019-09-10,9.82,30759
2019-09-09,9.78,24328
2019-09-06,9.71,22973
2019-09-05,9.72,48199
2019-09-04,9.75,23916
2019-09-03,9.79,36460
2019-09-02,9.71,55255
2019-08-30,9.66,40624
2019-08-29,9.63,18441
2019-08-28,9.73,20317
2019-08-27,9.73,37770
2019-08-26,9.54,28660
2019-08-23,9.7,48806
2019-08-22,9.67,30000
2019-08-21,9.57,21962
2019-08-20,9.54,26098
2019-08-19,9.52,27146
2019-08-16,9.33,52664
2019-08-15,9.01,22894
2019-08-14,8.93,24014
2019-08-13,8.89,26677
2019-08-12,8.95,23800
2019-08-09,8.77,24882
2019-08-08,8.7,19526
2019-08-07,8.57,15978
2019-08-06,8.65,34098
2019-08-05,9.09,22405
2019-08-02,9.33,23771
2019-08-01,9.42,11785
2019-07-31,9.42,10859
2019-07-30,9.53,11057
2019-07-29,9.55,14615
2019-07-26,9.45,15109
2019-07-25,9.54,13576
2019-07-24,9.53,17299
2019-07-23,9.4,17327
2019-07-22,9.35,34127
2019-07-19,9.96,12153
2019-07-18,9.92,15159
2019-07-17,10.08,10723
2019-07-16,10.11,12186
2019-07-15,10.1,15928
2019-07-12,10.05,14359
2019-07-11,9.92,15947
2019-07-10,9.96,12660
2019-07-09,10.06,15713
2019-07-08,10.0,35211
2019-07-05,10.44,20602
2019-07-04,10.42,14048
2019-07-03,10.39,20904
2019-07-02,10.49,19871
2019-07-01,10.55,39905
2019-06-28,10.47,23975
2019-06-27,10.41,28374
2019-06-26,10.24,17178
2019-06-25,10.3,27020
2019-06-24,10.59,29686
2019-06-21,10.48,36702
2019-06-20,10.46,35407
2019-06-19,10.28,19454
2019-06-18,10.24,13959
2019-06-17,10.23,11161
2019-06-14,10.26,24373
2019-06-13,10.51,19240
2019-06-12,10.5,27213
2019-06-11,10.53,30491
2019-06-10,10.19,15971
2019-06-06,10.14,27277
2019-06-05,10.51,28815
2019-06-04,10.68,48642
2019-06-03,10.45,33545
2019-05-31,10.48,35980
2019-05-30,10.57,79622
2019-05-29,10.88,161088
2019-05-28,10.16,32620
2019-05-27,10.23,30935
2019-05-24,10.12,35874
2019-05-23,10.02,24663
2019-05-22,9.98,19477
2019-05-21,10.06,22611
2019-05-20,9.96,23139
2019-05-17,9.92,40109
2019-05-16,10.23,27111
2019-05-15,10.17,33571
2019-05-14,10.03,29849
2019-05-13,10.12,29859
2019-05-10,10.18,52352
2019-05-09,9.94,31480
2019-05-08,9.97,33927
2019-05-07,10.04,44284
2019-05-06,9.96,52229
2019-04-30,10.75,30443
2019-04-29,10.57,40150
2019-04-26,10.63,47565
2019-04-25,10.85,80736
2019-04-24,11.5,73412
2019-04-23,11.46,95322
2019-04-22,11.92,157702
2019-04-19,11.92,84359
2019-04-18,11.6,61916
2019-04-17,11.74,78068
2019-04-16,11.74,72056
2019-04-15,11.43,77281
2019-04-12,11.54,110353
2019-04-11,12.03,131322
2019-04-10,12.0,171267
2019-04-09,11.69,101710
2019-04-08,11.47,93846
